City_ID,City,Country,Max Temp,Humidity,Cloudiness,Lat,Lng,Hotel Name
648,Orcopampa,PE,45.39,95,100,-15.2661,-72.3417,Happy Wasi
649,Naantali,FI,33.37,93,100,60.4674,22.0243,Naantali Spa Hotel & Resort
654,Fukue,JP,48.49,58,31,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
658,Sitka,US,42.69,75,100,57.0531,-135.33,Westmark Sitka
659,Soma,TR,33.62,80,4,39.1855,27.6094,Hotel Labella
660,Chardara,KZ,42.67,39,100,41.2547,67.9692,Жанаргул
662,Peterhead,GB,42.12,80,100,57.5058,-1.7981,Palace Hotel
666,Amfiklia,GR,30.54,81,9,38.6333,22.5833,Hotel Polydrosos
674,Berezovka,BY,33.93,98,100,53.7214,25.4993,Nad Nemanom Usad'ba
678,Kalaleh,IR,44.28,95,100,37.3807,55.4916,عطر و ادکلن پارسیس
682,Arcata,US,47.59,83,0,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
684,Muborak,UZ,48.49,37,100,39.2553,65.1528,Muborak temiryoʻl vakzali
686,Wajima,JP,39.09,66,96,37.4,136.9,Wajiima Onsen Yashio
